Дата,Время начала,Время окончания,Продолжительность (h),,Пройденный материал,Задачи/цели на день,Примечания,Повторить,повторение,Дедлайн,Прогноз Copilot,Прогноз ChatGPT,Повторение
30.12.2025,18:00,18:59,0:59,00:59,"Регистрационная форма:

имя
email
пароль
повтор пароля
чекбокс «согласен»
select (страна / роль)
ошибки под полями
disabled кнопка при ошибках
вывод результата в консоль или DOM
 Чистый JS.

+ итак перепрошел написание html  формы практическое, теперь надо на js функционал сделать",освоить формы,,,,,,,
31.12.2025,,,,00:00,,,,,,,,,
01.01.2026,21:08,21:46,0:38,00:38,"накатать форму регистрации, отверстать оформление с помощью css и с помощью JS замутить функционал
начал проект, задание в копилоте","накатать форму регистрации, отверстать оформление с помощью css и с помощью JS замутить функционал",,,,,,,
02.01.2026,22:23,23:34,1:11,01:11,"основные поля вбил, достилизовать и потом js",,,,,,,,
03.01.2026,,,0:00,00:00,,,,,,,,,
04.01.2026,20:31,23:00,2:29,02:29,"пока что собрал html  со стилем, дальше буду делать валидацию форм через js и соотв. реакция полей на ввод пользователя",,,,,,,,
05.01.2026,22:16,22:58,0:42,00:42,"ну кое как попинал ногой в дверь , за которой инфа о валидации форм
- понял, что такое novalidate 
- понял, почему браузерная валидация мешает
- понял, как работает preventDefault
- понял, что submit не срабатывает из‑за required
- понял, что нужна кастомная логика
- понял, что валидация — это набор условий
- понял, что нужно вешать обработчики на blur/input
- понял, что ошибки должны появляться под полем
- понял, что нужна архитектура, а не хаос",,,,,,,,
06.01.2026,15:30,19:02,3:32,03:32,собрал нейм валидацию,,,,,,,,
07.01.2026,16:22,18:11,1:49,01:49,"перешел на модули, вынес select countryв модуль, переделал validatename в модуль,  начал собирать error check and render",,,,,,,,
08.01.2026,,,0:00,00:00,,,,,,,,,
09.01.2026,,,0:00,00:00,,,,,,,,,
10.01.2026,17:18,19:38,2:20,02:20,"доделал архитектуру валидации инпута, начал масштабирование, сделал первые три инпута",,,,,,,,
11.01.2026,21:49,23:40,1:51,01:51,"написал валидацию логина, теперь прошел теорию по fetch mock debounce try catch await, завтра надо уникальность логина на сервере реализовать","расширить валидацию на следуюбщие поля: логин, пароли, страны, пол, соглашение, минимум час работы что бы поддержать поток",,,,,,,
12.01.2026,17:23,18:48,1:25,01:25,"валидация при вводе паролей сделана, теперь конутринг бордера красным надо реализовать при eventListener blur ",инпуты пассворда провалидить,,,,,,,
13.01.2026,19:24,20:19,0:55,00:55,сделал для всех прпедыдущих инпутов слушатели фокус и блюр с подсветкой красным бордера при инвалидИнпуте,конnуринг бордера красным надо реализовать при eventListener blur ,,,,,,,
14.01.2026,22:49,0:08,1:19,01:19,"поработал с fetch , json",try fetch catch cсделать и mock для логина,,,,,,,
15.01.2026,,,0:00,00:00,,,,,,,,,
16.01.2026,16:44,19:00,2:16,02:16,"17:29 сделал фетч и мок, теперь дебонс надо сделать
debounce еле еле сделал, теперь отображение статуса проверки данных на сервере надо сделать визуальным, в процессе, ок , не  ок",try fetch catch cсделать и mock для логина,,,,,,,
17.01.2026,19:47,22:18,2:31,02:31,"сделал вродь светлофор возле лейбла, теперь надо статус сервера ""не ок"" добавить в ероры","отображение статуса проверки данных на сервере надо сделать визуальным, в процессе, ок , не  ок",,,,,,,
18.01.2026,17:11,19:11,2:00,02:00,"как бы все закрутилось в узлы и сломалось, надо распутывать и переделывать","надо статус сервера ""не ок"" добавить в ероры",,,,,,,
19.01.2026,,,0:00,00:00,,,,,,,,,
20.01.2026,17:26,19:05,1:39,01:39,"name переделал, инкапсулировал",пересобрать логин,,,,,,,
20.01.2026,20:20,22:52,2:32,02:32,"email, phone сделал, логин еще допилить надо",инкапсулировать следующий инпут,,,,,,,
21.01.2026,21:00,23:30,2:30,02:30,"сделал логин, пароли, пересобарл заново все валидаторы и инициализаторы, сделал кантри селект,  почти сделал сабмит, надо сделать радио инпуты и терм кондишнс, надо деделать сабмит. Потом отправку формы на серврер",передлать логин,,,,,,,
22.01.2026,,,0:00,00:00,,,,,,,,,
23.01.2026,,,0:00,00:00,,,,,,,,,
24.01.2026,20:56,22:03,1:07,01:07,"radio input gender  term n condition  валидируются при сабмите, осталось написать отправку на сервер
теперь отправку формы на серврер надо сделать ",радио инпуты и терм кондишнс валидация,,,,,,,
25.01.2026,,,0:00,00:00,,,,,,,,,
26.01.2026,,,0:00,00:00,сьезд выезд,,,,,,,,
27.01.2026,,,0:00,00:00,,,,,,,,,
28.01.2026,,,0:00,00:00,,,,,,,,,
29.01.2026,,,0:00,00:00,,,,,,,,,
30.01.2026,23:37,0:19,0:42,00:42,"запушил проект на гит
https://rmd-cmb.github.io/own-registration-form/
пощупал апи сервера",,,,,,,,
31.01.2026,13:48,14:31,0:43,00:43,"залил крестики нолики 
https://github.com/rmd-cmb/first-project-tictactoe

кнопку сабмита оформить анимацию, fetch get server сделать на тестовый апи сервера, сделать страницу успешной регистрации и функция отправки данных формы на сервер",запушить крестики нолики на гит,,,,,,,
01.02.2026,,,0:00,00:00,,,,,,,,,
02.02.2026,,,0:00,00:00,,,,,,,,,
03.02.2026,20:57,22:03,1:06,01:06,"создал success.html
сделал с помощью копилота отправку данных формы чеез post на тестовый сервер, увидел в нетворке свои данные",success.html,,,,,,,
04.02.2026,22:24,23:21,0:57,00:57,"запилил кнопку сабмита, , fetch get server сделать на тестовый апи сервера,
форма регистрации на ваниле завершена",кнопку сабмита оформить анимацию,,,,,,,
,,sum,0,13:13,,,,,,,,,
